Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MAINFRIC.csv;
Starttime of export;134225416292140000;onsdag 6. mai 2026;13:47:09.214
Endtime of export;134225416573394775;onsdag 6. mai 2026;13:47:37.339


Name;fMain_Spool;Name;fU;Name;fMain_Position_mm;Name;fMain_Pa_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_bar;Name;fPs_bar
1790;-0.00088503677480389342;1790;0;1790;348.103943;1790;0;1790;53.6271248;1790;0.219733268;1790;152.372818
1800;-0.00082399975585190077;1800;0;1800;348.103943;1800;0;1800;53.6759529;1800;0.207525864;1800;152.360611
1810;-0.00088503677480389342;1810;0;1810;348.06546;1810;0;1810;53.6271248;1810;0.170903653;1810;152.3484
1820;-0.00088503677480389342;1820;0;1820;348.103943;1820;0;1820;53.60271;1820;0.170903653;1820;152.44606
1830;-0.00094607379375588607;1830;0;1830;348.142426;1830;0;1830;53.6271248;1830;0.183111057;1830;152.360611
1840;-0.00082399975585190077;1840;0;1840;348.180878;1840;0.0122074038;1840;53.5782967;1840;0.207525864;1840;152.3484
1850;-0.00088503677480389342;1850;0;1850;348.103943;1850;0.0244148076;1850;53.54167;1850;0.207525864;1850;152.433853
1860;-0.00082399975585190077;1860;0;1860;348.103943;1860;0;1860;53.5905037;1860;0.207525864;1860;152.421646
1870;-0.00094607379375588607;1870;0;1870;348.142426;1870;0;1870;53.73699;1870;0.183111057;1870;152.238525
1880;-0.00088503677480389342;1880;0;1880;348.142426;1880;0;1880;53.7492;1880;0.207525864;1880;152.116455
1890;-0.00094607379375588607;1890;0;1890;348.142426;1890;0;1890;53.56609;1890;0.219733268;1890;152.214111
1900;-0.0010071108127078787;1900;0;1900;348.142426;1900;0;1900;53.5172577;1900;0.183111057;1900;152.397232
1910;-0.00082399975585190077;1910;0;1910;348.142426;1910;0;1910;53.5294647;1910;0.158696249;1910;152.3362
1920;-0.00082399975585190077;1920;0;1920;348.103943;1920;0;1920;53.5294647;1920;0.158696249;1920;152.262955
1930;-0.00094607379375588607;1930;0;1930;348.142426;1930;0.0122074038;1930;53.50505;1930;0.207525864;1930;152.360611
1940;-0.001129184850611864;1940;0;1940;348.06546;1940;0;1940;53.6637459;1940;0.219733268;1940;152.311783
1950;-0.0010071108127078787;1950;0;1950;348.06546;1950;0;1950;53.798027;1950;0.207525864;1950;152.3484
1960;-0.0010071108127078787;1960;0;1960;348.103943;1960;0.0122074038;1960;53.6271248;1960;0.207525864;1960;152.433853
1970;-0.00094607379375588607;1970;0;1970;348.142426;1970;0;1970;53.6637459;1970;0.207525864;1970;152.421646
1980;-0.001129184850611864;1980;0;1980;348.180878;1980;0;1980;53.7614059;1980;0.183111057;1980;152.3484
1990;-0.0010681478316598714;1990;0;1990;348.180878;1990;0;1990;53.6149178;1990;0.170903653;1990;152.275162
2000;-0.0010071108127078787;2000;0;2000;348.142426;2000;0;2000;53.5905037;2000;0.207525864;2000;152.32399
2010;-0.001129184850611864;2010;0;2010;348.142426;2010;0;2010;53.6149178;2010;0.183111057;2010;152.44606
2020;-0.0010681478316598714;2020;0;2020;348.142426;2020;0;2020;53.5782967;2020;0.170903653;2020;152.3362
2030;-0.00094607379375588607;2030;0;2030;348.103943;2030;0.0244148076;2030;53.56609;2030;0.170903653;2030;152.262955
2040;-0.00082399975585190077;2040;0;2040;348.142426;2040;0.03662221;2040;53.6271248;2040;0.183111057;2040;152.421646
2050;-0.0010071108127078787;2050;0;2050;348.103943;2050;0.03662221;2050;53.60271;2050;0.207525864;2050;152.397232
2060;-0.00088503677480389342;2060;0;2060;348.103943;2060;0.0244148076;2060;53.5782967;2060;0.170903653;2060;152.409439
2070;-0.00094607379375588607;2070;0;2070;348.103943;2070;0;2070;53.6271248;2070;0.158696249;2070;152.409439
2080;-0.00094607379375588607;2080;0;2080;348.103943;2080;0;2080;53.6149178;2080;0.170903653;2080;152.372818
