Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\MainFrictionRetake.csv;
Starttime of export;134227052015630000;fredag 8. mai 2026;11:13:21.563
Endtime of export;134227052853030000;fredag 8. mai 2026;11:14:45.303


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar
1140;0;1140;299.898834;1140;0;1140;0;1140;0;1140;0;1140;151.481674;1140;0;1140;0.183111057;1140;56.14185;1140;0
1150;0;1150;299.937317;1150;0;1150;0;1150;0;1150;0;1150;151.33519;1150;0;1150;0.170903653;1150;56.1662636;1150;0
1160;0;1160;300.052734;1160;0;1160;0;1160;0;1160;0;1160;151.408432;1160;0;1160;0.170903653;1160;56.19068;1160;0
1170;0;1170;300.014252;1170;0;1170;0;1170;0;1170;0;1170;151.481674;1170;0;1170;0.170903653;1170;56.14185;1170;0
1180;0;1180;299.975769;1180;0;1180;0;1180;0;1180;0;1180;151.506088;1180;0.0244148076;1180;0.207525864;1180;56.1296425;1180;0
1190;0;1190;299.898834;1190;0;1190;0;1190;0;1190;0;1190;151.5183;1190;0;1190;0.207525864;1190;56.0686073;1190;0
1200;0;1200;299.937317;1200;0;1200;0;1200;0;1200;0;1200;151.481674;1200;0;1200;0.207525864;1200;56.0319824;1200;0
1210;0;1210;299.975769;1210;0;1210;0;1210;0;1210;0;1210;151.432846;1210;0.0122074038;1210;0.183111057;1210;56.09302;1210;0
1220;0;1220;300.014252;1220;0;1220;0;1220;0;1220;0;1220;151.506088;1220;0;1220;0.183111057;1220;56.14185;1220;0
1230;0;1230;299.975769;1230;0;1230;0;1230;0;1230;0;1230;151.567123;1230;0;1230;0.183111057;1230;56.1296425;1230;0
1240;0;1240;299.937317;1240;0;1240;0;1240;0;1240;0;1240;151.493881;1240;0;1240;0.170903653;1240;56.20289;1240;0
1250;0;1250;299.937317;1250;0;1250;0;1250;0;1250;0;1250;151.408432;1250;0;1250;0.183111057;1250;56.09302;1250;0
1260;0;1260;299.937317;1260;0;1260;0;1260;0;1260;0;1260;151.469467;1260;0;1260;0.183111057;1260;56.0563965;1260;0
1270;0;1270;299.937317;1270;0;1270;0;1270;0;1270;0;1270;151.481674;1270;0;1270;0.183111057;1270;56.00757;1270;0
1280;0;1280;299.937317;1280;0;1280;0;1280;0;1280;0;1280;151.493881;1280;0;1280;0.183111057;1280;56.0319824;1280;0
1290;0;1290;299.898834;1290;0;1290;0;1290;0;1290;0;1290;151.567123;1290;0;1290;0.207525864;1290;56.2150955;1290;0
1300;0;1300;299.898834;1300;0;1300;0;1300;0;1300;0;1300;151.420639;1300;0;1300;0.207525864;1300;56.27613;1300;0
1310;0;1310;299.975769;1310;0;1310;0;1310;0;1310;0;1310;151.432846;1310;0;1310;0.207525864;1310;56.27613;1310;0
1320;0;1320;300.014252;1320;0;1320;0;1320;0;1320;0;1320;151.554916;1320;0.0122074038;1320;0.207525864;1320;56.3005447;1320;0
1330;0;1330;300.014252;1330;0;1330;0;1330;0;1330;0;1330;151.469467;1330;0;1330;0.207525864;1330;56.14185;1330;0
1340;0;1340;299.975769;1340;0;1340;0;1340;0;1340;0;1340;151.445053;1340;0;1340;0.183111057;1340;56.0319824;1340;0
1350;0;1350;299.898834;1350;0;1350;0;1350;0;1350;0;1350;151.469467;1350;0;1350;0.170903653;1350;56.1662636;1350;0
1360;0;1360;299.937317;1360;0;1360;0;1360;0;1360;0;1360;151.3474;1360;0;1360;0.170903653;1360;56.2273026;1360;0
1370;0;1370;299.937317;1370;0;1370;0;1370;0;1370;0;1370;151.33519;1370;0.0122074038;1370;0.183111057;1370;56.2273026;1370;0
1380;0;1380;299.975769;1380;0;1380;0;1380;0;1380;0;1380;151.420639;1380;0.0122074038;1380;0.207525864;1380;56.19068;1380;0
1390;0;1390;299.975769;1390;0;1390;0;1390;0;1390;0;1390;151.396225;1390;0;1390;0.183111057;1390;56.10523;1390;0
1400;0;1400;299.975769;1400;0;1400;0;1400;0;1400;0;1400;151.445053;1400;0.0122074038;1400;0.170903653;1400;56.0686073;1400;0
1410;0;1410;299.975769;1410;0;1410;0;1410;0;1410;0;1410;151.493881;1410;0;1410;0.207525864;1410;56.14185;1410;0
1420;0;1420;299.975769;1420;0;1420;0;1420;0;1420;0;1420;151.445053;1420;0;1420;0.219733268;1420;56.2150955;1420;0
1430;0;1430;299.975769;1430;0;1430;0;1430;0;1430;0;1430;151.371811;1430;0;1430;0.207525864;1430;56.1662636;1430;0
1440;0;1440;299.975769;1440;0;1440;0;1440;0;1440;0;1440;151.396225;1440;0;1440;0.207525864;1440;56.0197754;1440;0
1450;0;1450;299.975769;1450;0;1450;0;1450;0;1450;0;1450;151.554916;1450;0;1450;0.207525864;1450;56.0197754;1450;0
1460;0;1460;299.937317;1460;0;1460;0;1460;0;1460;0;1460;151.567123;1460;0;1460;0.207525864;1460;56.04419;1460;0
1470;0;1470;299.937317;1470;0;1470;0;1470;0;1470;0;1470;151.493881;1470;0.0122074038;1470;0.207525864;1470;55.9831543;1470;0
1480;0;1480;299.937317;1480;0;1480;0;1480;0;1480;0;1480;151.408432;1480;0.0122074038;1480;0.170903653;1480;55.9709473;1480;0
1490;0;1490;299.975769;1490;0;1490;0;1490;0;1490;0;1490;151.396225;1490;0.0122074038;1490;0.207525864;1490;56.0319824;1490;0
1500;0;1500;299.975769;1500;0;1500;0;1500;0;1500;0;1500;151.432846;1500;0;1500;0.231940672;1500;56.10523;1500;0
1510;0;1510;299.937317;1510;0;1510;0;1510;0;1510;0;1510;151.506088;1510;0;1510;0.219733268;1510;56.1540565;1510;0
1520;0;1520;299.975769;1520;0;1520;0;1520;0;1520;0;1520;151.408432;1520;0;1520;0.183111057;1520;56.2150955;1520;0
1530;0;1530;300.014252;1530;0;1530;0;1530;0;1530;0;1530;151.396225;1530;0;1530;0.170903653;1530;56.2273026;1530;0
1540;0;1540;299.975769;1540;0;1540;0;1540;0;1540;0;1540;151.408432;1540;0;1540;0.170903653;1540;56.1174355;1540;0
1550;0;1550;299.975769;1550;0;1550;0;1550;0;1550;0;1550;151.408432;1550;0;1550;0.170903653;1550;56.10523;1550;0
1560;0;1560;299.975769;1560;0;1560;0;1560;0;1560;0;1560;151.591537;1560;0;1560;0.158696249;1560;56.1540565;1560;0
1570;0;1570;299.975769;1570;0;1570;0;1570;0;1570;0;1570;151.57933;1570;0;1570;0.158696249;1570;56.09302;1570;0
1580;0;1580;300.014252;1580;0;1580;0;1580;0;1580;0;1580;151.371811;1580;0;1580;0.158696249;1580;56.09302;1580;0
1590;0;1590;299.898834;1590;0;1590;0;1590;0;1590;0;1590;151.3474;1590;0;1590;0.158696249;1590;56.0686073;1590;0
1600;0;1600;299.860352;1600;0;1600;0;1600;0;1600;0;1600;151.384018;1600;0;1600;0.183111057;1600;56.1296425;1600;0
1610;0;1610;299.898834;1610;0;1610;0;1610;0;1610;0;1610;151.445053;1610;0;1610;0.183111057;1610;56.10523;1610;0
1620;0;1620;299.898834;1620;0;1620;0;1620;0;1620;0;1620;151.469467;1620;0;1620;0.183111057;1620;56.0197754;1620;0
1630;0;1630;299.937317;1630;0;1630;0;1630;0;1630;0;1630;151.3474;1630;0;1630;0.170903653;1630;56.2273026;1630;0
1640;0;1640;299.975769;1640;0;1640;0;1640;0;1640;0;1640;151.432846;1640;0;1640;0.183111057;1640;56.33717;1640;0
1650;0;1650;300.052734;1650;0;1650;0;1650;0;1650;0;1650;151.5305;1650;0;1650;0.183111057;1650;56.10523;1650;0
1660;0;1660;300.014252;1660;0;1660;0;1660;0;1660;0;1660;151.481674;1660;0.0122074038;1660;0.170903653;1660;56.10523;1660;0
1670;0;1670;299.975769;1670;0;1670;0;1670;0;1670;0;1670;151.384018;1670;0;1670;0.170903653;1670;56.1662636;1670;0
1680;0;1680;299.975769;1680;0;1680;0;1680;0;1680;0;1680;151.420639;1680;0;1680;0.170903653;1680;56.10523;1680;0
1690;0;1690;299.975769;1690;0;1690;0;1690;0;1690;0;1690;151.481674;1690;0.0122074038;1690;0.207525864;1690;56.1296425;1690;0
1700;0;1700;299.975769;1700;0;1700;0;1700;0;1700;0;1700;151.469467;1700;0;1700;0.183111057;1700;56.14185;1700;0
1710;0;1710;300.014252;1710;0;1710;0;1710;0;1710;0;1710;151.481674;1710;0;1710;0.183111057;1710;56.1174355;1710;0
1720;0;1720;300.052734;1720;0;1720;0;1720;0;1720;0;1720;151.481674;1720;0;1720;0.183111057;1720;56.1174355;1720;0
1730;0;1730;299.975769;1730;0;1730;0;1730;0;1730;0;1730;151.628159;1730;0;1730;0.183111057;1730;56.20289;1730;0
1740;0;1740;299.975769;1740;0;1740;0;1740;0;1740;0;1740;151.603745;1740;0;1740;0.170903653;1740;56.27613;1740;0
1750;0;1750;300.014252;1750;0;1750;0;1750;0;1750;0;1750;151.481674;1750;0;1750;0.158696249;1750;56.1296425;1750;0
1760;0;1760;299.975769;1760;0;1760;0;1760;0;1760;0;1760;151.408432;1760;0;1760;0.183111057;1760;56.0563965;1760;0
1770;0;1770;299.898834;1770;0;1770;0;1770;0;1770;0;1770;151.420639;1770;0;1770;0.207525864;1770;56.09302;1770;0
1780;0;1780;299.937317;1780;0;1780;0;1780;0;1780;0;1780;151.493881;1780;0;1780;0.183111057;1780;56.1540565;1780;0
1790;0;1790;299.975769;1790;0;1790;0;1790;0;1790;0;1790;151.396225;1790;0;1790;0.170903653;1790;56.20289;1790;0
1800;0;1800;299.975769;1800;0;1800;0;1800;0;1800;0;1800;151.396225;1800;0;1800;0.170903653;1800;56.1296425;1800;0
1810;0;1810;299.975769;1810;0;1810;0;1810;0;1810;0;1810;151.384018;1810;0;1810;0.158696249;1810;56.1174355;1810;0
1820;0;1820;300.014252;1820;0;1820;0;1820;0;1820;0;1820;151.432846;1820;0;1820;0.170903653;1820;56.1174355;1820;0
1830;0;1830;299.937317;1830;0;1830;0;1830;0;1830;0;1830;151.469467;1830;0;1830;0.170903653;1830;56.10523;1830;0
1840;0;1840;299.937317;1840;0;1840;0;1840;0;1840;0;1840;151.506088;1840;0;1840;0.170903653;1840;56.1540565;1840;0
1850;0;1850;299.975769;1850;0;1850;0;1850;0;1850;0;1850;151.5183;1850;0.0244148076;1850;0.207525864;1850;56.0563965;1850;0
1860;0;1860;299.975769;1860;0;1860;0;1860;0;1860;0;1860;151.445053;1860;0.0122074038;1860;0.219733268;1860;55.95874;1860;0
1870;0;1870;299.975769;1870;0;1870;0;1870;0;1870;0;1870;151.420639;1870;0;1870;0.183111057;1870;56.0563965;1870;0
1880;0;1880;299.937317;1880;0;1880;0;1880;0;1880;0;1880;151.420639;1880;0;1880;0.170903653;1880;56.1296425;1880;0
1890;0;1890;299.975769;1890;0;1890;0;1890;0;1890;0;1890;151.432846;1890;0;1890;0.219733268;1890;56.1296425;1890;0
1900;0;1900;299.975769;1900;0;1900;0;1900;0;1900;0;1900;151.481674;1900;0;1900;0.183111057;1900;56.1540565;1900;0
1910;0;1910;299.975769;1910;0;1910;0;1910;0;1910;0;1910;151.554916;1910;0;1910;0.183111057;1910;56.1296425;1910;0
1920;0;1920;300.052734;1920;0;1920;0;1920;0;1920;0;1920;151.469467;1920;0.0122074038;1920;0.207525864;1920;56.1296425;1920;0
1930;0;1930;300.014252;1930;0;1930;0;1930;0;1930;0;1930;151.408432;1930;0.0244148076;1930;0.183111057;1930;56.1662636;1930;0
1940;0;1940;299.975769;1940;0;1940;0;1940;0;1940;0;1940;151.432846;1940;0.0122074038;1940;0.183111057;1940;56.0319824;1940;0
1950;0;1950;299.975769;1950;0;1950;0;1950;0;1950;0;1950;151.506088;1950;0;1950;0.183111057;1950;55.9709473;1950;0
1960;0;1960;299.937317;1960;0;1960;0;1960;0;1960;0;1960;151.5305;1960;0;1960;0.183111057;1960;56.09302;1960;0
1970;0;1970;299.975769;1970;0;1970;0;1970;0;1970;0;1970;151.481674;1970;0;1970;0.170903653;1970;56.1296425;1970;0
1980;0;1980;299.975769;1980;0;1980;0;1980;0;1980;0;1980;151.396225;1980;0;1980;0.183111057;1980;56.04419;1980;0
1990;0;1990;299.898834;1990;0;1990;0;1990;0;1990;0;1990;151.469467;1990;0;1990;0.219733268;1990;56.0563965;1990;0
2000;0;2000;299.937317;2000;0;2000;0;2000;0;2000;0;2000;151.554916;2000;0;2000;0.231940672;2000;56.0319824;2000;0
2010;0;2010;299.975769;2010;0;2010;0;2010;0;2010;0;2010;151.481674;2010;0;2010;0.219733268;2010;55.9831543;2010;0
