Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard2.csv;
Starttime of export;134226361040610000;torsdag 7. mai 2026;16:01:44.061
Endtime of export;134226362083010000;torsdag 7. mai 2026;16:03:28.301


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
970;0;970;299.405884;970;0;970;0;970;0;970;0;970;0.3418073;970;61.0370178;970;49.5376434;970;64.174324;970;78.87203
980;0;980;299.444733;980;0;980;0;980;0;980;0;980;0.354014724;980;61.2079239;980;49.5864754;980;64.2109451;980;78.8964539
990;0;990;299.405884;990;0;990;0;990;0;990;0;990;0.40284434;990;61.2079239;990;49.5254364;990;64.32081;990;78.95749
1000;0;1000;299.405884;1000;0;1000;0;1000;0;1000;0;1000;0.3418073;1000;61.183506;1000;49.57427;1000;64.34522;1000;78.9819
1010;0;1010;299.444733;1010;0;1010;0;1010;0;1010;0;1010;0.329599917;1010;61.1590919;1010;49.5864754;1010;64.28419;1010;79.0551453
1020;0;1020;299.444733;1020;0;1020;0;1020;0;1020;0;1020;0.354014724;1020;61.08585;1020;49.4888153;1020;64.2109451;1020;78.95749
1030;0;1030;299.444733;1030;0;1030;0;1030;0;1030;0;1030;0.3051851;1030;61.08585;1030;49.5254364;1030;64.2963943;1030;78.8598251
1040;0;1040;299.444733;1040;0;1040;0;1040;0;1040;0;1040;0.329599917;1040;61.2079239;1040;49.5986824;1040;64.36964;1040;78.90866
1050;0;1050;299.483582;1050;0;1050;0;1050;0;1050;0;1050;0.378429532;1050;61.1957169;1050;49.57427;1050;64.35743;1050;78.811
1060;0;1060;299.483582;1060;0;1060;0;1060;0;1060;0;1060;0.390636921;1060;61.183506;1060;49.54985;1060;64.3086;1060;78.811
1070;0;1070;299.483582;1070;0;1070;0;1070;0;1070;0;1070;0.354014724;1070;61.1957169;1070;49.57427;1070;64.24757;1070;78.95749
1080;0;1080;299.483582;1080;0;1080;0;1080;0;1080;0;1080;0.3418073;1080;61.1957169;1080;49.4888153;1080;64.2963943;1080;78.95749
1090;0;1090;299.444733;1090;0;1090;0;1090;0;1090;0;1090;0.378429532;1090;61.3544121;1090;49.5986824;1090;64.4062653;1090;78.8964539
1100;0;1100;299.444733;1100;0;1100;0;1100;0;1100;0;1100;0.40284434;1100;61.244545;1100;49.6597176;1100;64.38185;1100;78.8598251
1110;0;1110;299.405884;1110;0;1110;0;1110;0;1110;0;1110;0.390636921;1110;61.0370178;1110;49.5986824;1110;64.38185;1110;78.8598251
1120;0;1120;299.405884;1120;0;1120;0;1120;0;1120;0;1120;0.3418073;1120;61.0980568;1120;49.6597176;1120;64.34522;1120;78.88425
1130;0;1130;299.444733;1130;0;1130;0;1130;0;1130;0;1130;0.354014724;1130;61.244545;1130;49.6353035;1130;64.27198;1130;78.8964539
1140;0;1140;299.444733;1140;0;1140;0;1140;0;1140;0;1140;0.354014724;1140;61.26896;1140;49.5864754;1140;64.43068;1140;78.90866
1150;0;1150;299.444733;1150;0;1150;0;1150;0;1150;0;1150;0.354014724;1150;61.1468849;1150;49.5986824;1150;64.45509;1150;78.87203
1160;0;1160;299.444733;1160;0;1160;0;1160;0;1160;0;1160;0.3418073;1160;61.08585;1160;49.64751;1160;64.35743;1160;78.811
1170;0;1170;299.405884;1170;0;1170;0;1170;0;1170;0;1170;0.3418073;1170;61.0736427;1170;49.54985;1170;64.3086;1170;78.78658
1180;0;1180;299.405884;1180;0;1180;0;1180;0;1180;0;1180;0.3173925;1180;61.0736427;1180;49.57427;1180;64.2109451;1180;78.7743759
1190;0;1190;299.405884;1190;0;1190;0;1190;0;1190;0;1190;0.329599917;1190;61.08585;1190;49.74517;1190;64.24757;1190;78.8598251
1200;0;1200;299.405884;1200;0;1200;0;1200;0;1200;0;1200;0.3173925;1200;61.183506;1200;49.7207565;1200;64.36964;1200;78.92087
1210;0;1210;299.367065;1210;0;1210;0;1210;0;1210;0;1210;0.3173925;1210;61.1713;1210;49.6230965;1210;64.36964;1210;78.90866
1220;0;1220;299.405884;1220;0;1220;0;1220;0;1220;0;1220;0.378429532;1220;61.1102638;1220;49.6353035;1220;64.2963943;1220;78.88425
1230;0;1230;299.405884;1230;0;1230;0;1230;0;1230;0;1230;0.354014724;1230;61.02481;1230;49.6353035;1230;64.3086;1230;78.823204
1240;0;1240;299.367065;1240;0;1240;0;1240;0;1240;0;1240;0.3173925;1240;60.98819;1240;49.5864754;1240;64.32081;1240;78.71334
1250;0;1250;299.405884;1250;0;1250;0;1250;0;1250;0;1250;0.354014724;1250;61.06143;1250;49.68413;1250;64.27198;1250;78.811
