Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard1.csv;
Starttime of export;134226189112130000;torsdag 7. mai 2026;11:15:11.213
Endtime of export;134226190135530000;torsdag 7. mai 2026;11:16:53.553


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
800;0;800;363.846283;800;0;800;0;800;0;800;0;800;0.378429532;800;52.47963;800;52.4674225;800;49.061554;800;53.2975235
810;0;810;363.807556;810;0;810;0;810;0;810;0;810;0.3051851;810;52.4063835;810;52.5894966;810;49.0249329;810;53.2975235
820;0;820;363.807556;820;0;820;0;820;0;820;0;820;0.2807703;820;52.41859;820;52.51625;820;48.98831;820;53.40739
830;0;830;363.807556;830;0;830;0;830;0;830;0;830;0.3418073;830;52.5284576;830;52.4552155;830;49.0493469;830;53.40739
840;0;840;363.76886;840;0;840;0;840;0;840;0;840;0.354014724;840;52.4552155;840;52.55287;840;49.0493469;840;53.3585625
850;0;850;363.76886;850;0;850;0;850;0;850;0;850;0.2929777;850;52.41859;850;52.5650826;850;49.1103859;850;53.27311
860;0;860;363.76886;860;0;860;0;860;0;860;0;860;0.3418073;860;52.3941765;860;52.55287;860;49.147007;860;53.4195976
870;0;870;363.691467;870;0;870;0;870;0;870;0;870;0.415051728;870;52.3575554;870;52.5040436;870;49.0737648;870;53.46843
880;0;880;363.76886;880;0;880;0;880;0;880;0;880;0.3418073;880;52.44301;880;52.4674225;880;49.147007;880;53.27311
890;0;890;363.807556;890;0;890;0;890;0;890;0;890;0.329599917;890;52.4063835;890;52.44301;890;49.1103859;890;53.2975235
900;0;900;363.846283;900;0;900;0;900;0;900;0;900;0.354014724;900;52.3209343;900;52.47963;900;48.9638977;900;53.3829765
910;0;910;363.807556;910;0;910;0;910;0;910;0;910;0.3051851;910;52.41859;910;52.4063835;910;49.0737648;910;53.4806366
920;0;920;363.807556;920;0;920;0;920;0;920;0;920;0.3051851;920;52.47963;920;52.4063835;920;49.220253;920;53.4195976
930;0;930;363.846283;930;0;930;0;930;0;930;0;930;0.329599917;930;52.5040436;930;52.4918365;930;49.1103859;930;53.3463554
940;0;940;363.846283;940;0;940;0;940;0;940;0;940;0.3418073;940;52.5894966;940;52.51625;940;49.0249329;940;53.3829765
950;0;950;363.807556;950;0;950;0;950;0;950;0;950;0.329599917;950;52.47963;950;52.55287;950;49.0249329;950;53.37077
960;0;960;363.807556;960;0;960;0;960;0;960;0;960;0.3051851;960;52.33314;960;52.5650826;960;49.147007;960;53.4195976
970;0;970;363.807556;970;0;970;0;970;0;970;0;970;0.3418073;970;52.34535;970;52.47963;970;49.1225929;970;53.4806366
980;0;980;363.807556;980;0;980;0;980;0;980;0;980;0.3173925;980;52.4552155;980;52.5040436;980;49.1103859;980;53.4806366
990;0;990;363.76886;990;0;990;0;990;0;990;0;990;0.3051851;990;52.5406647;990;52.5650826;990;49.1348;990;53.40739
1000;0;1000;363.76886;1000;0;1000;0;1000;0;1000;0;1000;0.40284434;1000;52.4918365;1000;52.5040436;1000;49.09818;1000;53.3463554
1010;0;1010;363.807556;1010;0;1010;0;1010;0;1010;0;1010;0.390636921;1010;52.34535;1010;52.4063835;1010;49.1103859;1010;53.3585625
1020;0;1020;363.807556;1020;0;1020;0;1020;0;1020;0;1020;0.3418073;1020;52.28431;1020;52.3697624;1020;49.061554;1020;53.4318047
1030;0;1030;363.76886;1030;0;1030;0;1030;0;1030;0;1030;0.390636921;1030;52.4063835;1030;52.4674225;1030;48.98831;1030;53.5294647
1040;0;1040;363.76886;1040;0;1040;0;1040;0;1040;0;1040;0.415051728;1040;52.47963;1040;52.47963;1040;48.9638977;1040;53.55388
1050;0;1050;363.846283;1050;0;1050;0;1050;0;1050;0;1050;0.378429532;1050;52.44301;1050;52.4674225;1050;49.061554;1050;53.55388
1060;0;1060;363.846283;1060;0;1060;0;1060;0;1060;0;1060;0.354014724;1060;52.4552155;1060;52.5650826;1060;49.159214;1060;53.4806366
1070;0;1070;363.807556;1070;0;1070;0;1070;0;1070;0;1070;0.415051728;1070;52.3697624;1070;52.55287;1070;49.1348;1070;53.4562225
1080;0;1080;363.807556;1080;0;1080;0;1080;0;1080;0;1080;0.40284434;1080;52.3209343;1080;52.5650826;1080;49.0493469;1080;53.46843
1090;0;1090;363.807556;1090;0;1090;0;1090;0;1090;0;1090;0.2929777;1090;52.28431;1090;52.5894966;1090;49.061554;1090;53.27311
1100;0;1100;363.807556;1100;0;1100;0;1100;0;1100;0;1100;0.2929777;1100;52.28431;1100;52.55287;1100;49.1103859;1100;53.27311
1110;0;1110;363.846283;1110;0;1110;0;1110;0;1110;0;1110;0.354014724;1110;52.3697624;1110;52.4918365;1110;49.0493469;1110;53.4440155
1120;0;1120;363.846283;1120;0;1120;0;1120;0;1120;0;1120;0.3173925;1120;52.3941765;1120;52.4552155;1120;49.03714;1120;53.54167
1130;0;1130;363.846283;1130;0;1130;0;1130;0;1130;0;1130;0.329599917;1130;52.3697624;1130;52.5406647;1130;49.0737648;1130;53.5294647
1140;0;1140;363.846283;1140;0;1140;0;1140;0;1140;0;1140;0.354014724;1140;52.5040436;1140;52.5650826;1140;49.061554;1140;53.3829765
1150;0;1150;363.807556;1150;0;1150;0;1150;0;1150;0;1150;0.390636921;1150;52.5650826;1150;52.5650826;1150;49.061554;1150;53.40739
1160;0;1160;363.76886;1160;0;1160;0;1160;0;1160;0;1160;0.427259147;1160;52.4552155;1160;52.51625;1160;49.1348;1160;53.3585625
1170;0;1170;363.691467;1170;0;1170;0;1170;0;1170;0;1170;0.415051728;1170;52.4307976;1170;52.51625;1170;49.0493469;1170;53.2975235
1180;0;1180;363.76886;1180;0;1180;0;1180;0;1180;0;1180;0.390636921;1180;52.3941765;1180;52.5406647;1180;48.9761047;1180;53.3829765
1190;0;1190;363.807556;1190;0;1190;0;1190;0;1190;0;1190;0.354014724;1190;52.34535;1190;52.41859;1190;49.0249329;1190;53.3463554
1200;0;1200;363.807556;1200;0;1200;0;1200;0;1200;0;1200;0.2807703;1200;52.3941765;1200;52.3941765;1200;49.09818;1200;53.3585625
1210;0;1210;363.76886;1210;0;1210;0;1210;0;1210;0;1210;0.2807703;1210;52.41859;1210;52.44301;1210;49.061554;1210;53.4806366
1220;0;1220;363.807556;1220;0;1220;0;1220;0;1220;0;1220;0.378429532;1220;52.47963;1220;52.4918365;1220;49.0493469;1220;53.4440155
1230;0;1230;363.846283;1230;0;1230;0;1230;0;1230;0;1230;0.451673955;1230;52.5284576;1230;52.51625;1230;49.0737648;1230;53.4318047
1240;0;1240;363.807556;1240;0;1240;0;1240;0;1240;0;1240;0.427259147;1240;52.3575554;1240;52.5040436;1240;48.9761047;1240;53.46843
1250;0;1250;363.807556;1250;0;1250;0;1250;0;1250;0;1250;0.354014724;1250;52.3575554;1250;52.4674225;1250;49.0127258;1250;53.55388
1260;0;1260;363.846283;1260;0;1260;0;1260;0;1260;0;1260;0.244148076;1260;52.41859;1260;52.47963;1260;49.1103859;1260;53.5172577
