Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JIBFRIC.csv;
Starttime of export;134225418299840000;onsdag 6. mai 2026;13:50:29.984
Endtime of export;134225418629540000;onsdag 6. mai 2026;13:51:02.954


Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar;Name;fJib_Position_mm;Name;fPs_bar;Name;fU;Name;fJib_Spool
1180;1.48930323;1180;87.2096939;1180;58.8396873;1180;83.79162;1180;348.5159;1180;153.764465;1180;-0.16246389057939492;1180;-0.15829950865199754
1190;1.48930323;1190;87.13645;1190;58.8152733;1190;83.63293;1190;348.5159;1190;153.8255;1190;-0.16182568267198968;1190;-0.15689565721610155
1200;1.42826629;1200;87.12424;1200;58.6932;1200;83.55968;1200;348.5159;1200;153.715622;1200;-0.16120744425247283;1200;-0.15634632404553361
1210;1.30619216;1210;87.14866;1210;58.6199532;1210;83.43761;1210;348.5159;1210;153.764465;1210;-0.16055491263014626;1210;-0.1548203985717338
1220;1.18411815;1220;86.95334;1220;58.59554;1220;83.31553;1220;348.5159;1220;153.727829;1220;-0.1598683807921201;1220;-0.15457625049592583
1230;1.20853293;1230;86.7336044;1230;58.473465;1230;83.4009857;1230;348.5159;1230;153.6668;1230;0.030072532048715517;1230;-0.15347758415478979
1240;1.20853293;1240;86.67257;1240;58.3880119;1240;83.31553;1240;348.5159;1240;153.520309;1240;0.029889812020302609;1240;-0.15329447309793381
1250;1.12308121;1250;86.5382843;1250;58.29035;1250;83.14463;1250;348.436829;1250;153.43486;1250;0.03121879439928682;1250;-0.15225684377574994
1260;1.01321447;1260;86.35517;1260;58.08283;1260;83.12021;1260;348.357758;1260;153.398239;1260;0.032557137907462952;1260;-0.14316232795190284
1270;1.26957;1270;85.98895;1270;58.05841;1270;82.9371;1270;348.318237;1270;153.3372;1270;0.033153672668837231;1270;-0.11880855739005707
1280;2.19733262;1280;85.69598;1280;58.08283;1280;82.7295761;1280;348.357758;1280;153.325;1280;0.032257228715010466;1280;-0.0862147892696921
1290;2.97860646;1290;85.67156;1290;57.9973755;1290;82.66854;1290;348.397278;1290;153.300583;1290;0.031370150468967406;1290;-0.057222205267494705
1300;3.1983397;1300;85.81805;1300;58.1072426;1300;82.6563339;1300;348.357758;1300;153.263962;1300;0.031994782261255739;1300;-0.038178655354472471
1310;3.357036;1310;85.72039;1310;58.2049026;1310;82.57088;1310;348.357758;1310;153.227325;1310;0.031877610856966221;1310;-0.02865688039796126
1320;3.381451;1320;85.62273;1320;58.1682777;1320;82.6197052;1320;348.397278;1320;153.300583;1320;0.031018637412532413;1320;-0.021271401104769973
1330;3.22275472;1330;85.69598;1330;58.2049026;1330;82.66854;1330;348.397278;1330;153.276169;1330;0.030920205981121218;1330;-0.017242957853938277
1340;3.1983397;1340;85.68377;1340;58.1926956;1340;82.50984;1340;348.397278;1340;153.1785;1340;0.030831146039607737;1340;-0.014557329020050603
1350;3.357036;1350;85.72039;1350;58.21711;1350;82.4976349;1350;348.397278;1350;153.141876;1350;0.030751458466979353;1350;-0.013702810754722706
1360;3.295999;1360;85.72039;1360;58.2781448;1360;82.5830841;1360;348.397278;1360;153.141876;1360;0.030681144049718889;1360;-0.013397625659962742
1370;3.27158427;1370;85.5861053;1370;58.2415237;1370;82.64413;1370;348.357758;1370;153.154083;1370;0.031371374976403521;1370;-0.012970366527298794
1380;3.39365816;1380;85.62273;1380;58.21711;1380;82.66854;1380;348.318237;1380;153.154083;1380;0.032070980353890111;1380;-0.012848292489394808
1390;3.357036;1390;85.67156;1390;58.1926956;1390;82.64413;1390;348.357758;1390;152.995392;1390;0.031277617701912008;1390;-0.012054811243018904
1400;3.234962;1400;85.5861053;1400;58.2293167;1400;82.54646;1400;348.397278;1400;152.958771;1400;0.030493630426080998;1400;-0.012604144413586838
1410;3.28379154;1410;85.56169;1410;58.2049026;1410;82.6563339;1410;348.436829;1410;153.1785;1410;0.029719018850278;1410;-0.011810663167210933
1420;3.32041383;1420;85.52507;1420;58.25373;1420;82.71737;1420;348.357758;1420;153.141876;1420;0.031207297689652913;1420;-0.011871700186162926
1430;3.30820632;1430;85.47624;1430;58.30256;1430;82.692955;1430;348.357758;1430;153.080841;1430;0.031202609610001764;1430;-0.011749626148258941
1440;3.40586567;1440;85.47624;1440;58.30256;1440;82.59529;1440;348.397278;1440;153.056427;1440;0.030456126152196838;1440;-0.011810663167210933
1450;3.41807318;1450;85.48845;1450;58.3635979;1450;82.50984;1450;348.397278;1450;152.983185;1450;0.030470190259172081;1450;-0.011749626148258941
1460;3.36924338;1460;85.41521;1460;58.30256;1460;82.64413;1460;348.397278;1460;153.0198;1460;0.030493630297520058;1460;-0.011444441053498977
1470;3.36924338;1470;85.36637;1470;58.2781448;1470;82.6563339;1470;348.357758;1470;152.970978;1470;0.031277617530498125;1470;-0.011383404034546985
1480;3.49131751;1480;85.3785858;1480;58.25373;1480;82.5830841;1480;348.357758;1480;153.0198;1480;0.031319808645024372;1480;-0.010956144901883036
1490;3.40586567;1490;85.5006561;1490;58.2293167;1490;82.44881;1490;348.357758;1490;153.04422;1490;0.031371374719291134;1490;-0.011749626148258941
1500;3.32041383;1500;85.51286;1500;58.3269768;1500;82.36335;1500;348.357758;1500;152.995392;1500;0.031432315244363018;1500;-0.011200292977691007
1510;3.55235457;1510;85.32975;1510;58.3635979;1510;82.4976349;1510;348.397278;1510;152.970978;1510;0.03075145812417901;1510;-0.011322367015594992
1520;3.58897662;1520;85.305336;1520;58.3758049;1520;82.534256;1520;348.357758;1520;153.0198;1520;0.031582317148570238;1520;-0.010773033845027058
1530;3.49131751;1530;85.47624;1530;58.3758049;1530;82.54646;1530;348.318237;1530;152.983185;1530;0.032422548541850782;1530;-0.011078218939787022
1540;3.47911;1540;85.403;1540;58.30256;1540;82.6563339;1540;348.357758;1540;152.946564;1540;0.031769808435828051;1540;-0.011322367015594992
1550;3.41807318;1550;85.21989;1550;58.1316566;1550;82.63192;1550;348.397278;1550;152.995392;1550;0.03112643884823113;1550;-0.011444441053498977
1560;3.442488;1560;85.25651;1560;58.1072426;1560;82.54646;1560;348.318237;1560;153.093048;1560;0.0327459531989035;1560;-0.011139255958739014
1570;3.46690273;1570;85.32975;1570;58.30256;1570;82.54646;1570;348.357758;1570;153.093048;1570;0.032121321363799138;1570;-0.010406811731315102
1580;3.49131751;1580;85.29313;1580;58.40022;1580;82.55867;1580;348.357758;1580;153.0076;1580;0.032257228072430422;1580;-0.010711996826075066
1590;3.47911;1590;85.28092;1590;58.3391838;1590;82.6197052;1590;348.318237;1590;153.0198;1590;0.033153671983453814;1590;-0.010467848750267095
1600;3.46690273;1600;85.32975;1600;58.2781448;1600;82.57088;1600;348.357758;1600;152.983185;1600;0.032557137179282492;1600;-0.011200292977691007
1610;3.50352478;1610;85.39079;1610;58.29035;1610;82.57088;1610;348.357758;1610;152.995392;1610;0.032721136617520852;1610;-0.010467848750267095
1620;3.540147;1620;85.36637;1620;58.21711;1620;82.55867;1620;348.357758;1620;152.995392;1620;0.03289449718495957;1620;-0.010711996826075066
1630;3.50352478;1630;85.28092;1630;58.2293167;1630;82.44881;1630;348.357758;1630;153.093048;1630;0.033077217170597584;1630;-0.010284737693411117
1640;3.540147;1640;85.2687149;1640;58.30256;1640;82.47322;1640;348.357758;1640;153.154083;1640;0.28973934023840348;1640;-0.010223700674459124
1650;3.57676935;1650;85.2687149;1650;58.2415237;1650;82.534256;1650;348.357758;1650;153.117462;1650;0.29079667300403772;1650;-0.010650959807123073
1660;3.57676935;1660;85.2687149;1660;58.25373;1660;82.50984;1660;348.318237;1660;153.056427;1660;0.29260943314205079;1660;-0.010956144901883036
1670;3.5279398;1670;85.13444;1670;58.21711;1670;82.48543;1670;348.318237;1670;153.068634;1670;0.29366778131662458;1670;-0.010528885769219088
