Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\JibFricRetake.csv;
Starttime of export;134227056435130000;fredag 8. mai 2026;11:20:43.513
Endtime of export;134227057266530000;fredag 8. mai 2026;11:22:06.653


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
680;399.211456;680;399.881378;680;-0.7857747;680;-0.003937458642292932;680;0;680;0;680;152.165283;680;55.3361626;680;55.28733;680;56.9231224;680;70.43672
690;399.211456;690;399.919983;690;-0.7857747;690;-0.003937458642292932;690;0;690;0;690;152.079834;690;55.3605766;690;55.3239555;690;56.9597473;690;70.4611359
700;399.211456;700;399.881378;700;-0.7857747;700;-0.003937458642292932;700;0;700;0;700;152.153076;700;55.3361626;700;55.3239555;700;56.98416;700;70.53438
710;399.211456;710;399.881378;710;-0.7857747;710;-0.003937458642292932;710;0;710;0;710;152.311783;710;55.3605766;710;55.3971977;710;57.0085754;710;70.509964
720;399.211456;720;399.881378;720;-0.7857747;720;-0.003937458642292932;720;0;720;0;720;152.250748;720;55.3239555;720;55.5070648;720;57.03299;720;70.49776
730;399.211456;730;399.881378;730;-0.7857747;730;-0.003937458642292932;730;0;730;0;730;152.17749;730;55.28733;730;55.2995377;730;57.08182;730;70.53438
740;399.211456;740;399.881378;740;-0.7857747;740;-0.003937458642292932;740;0;740;0;740;152.226318;740;55.2751236;740;55.2262955;740;57.0085754;740;70.38789
750;399.211456;750;399.881378;750;-0.7857747;750;-0.003937458642292932;750;0;750;0;750;152.238525;750;55.2385025;750;55.3605766;750;56.98416;750;70.30244
760;399.211456;760;399.919983;760;-0.7857747;760;-0.003937458642292932;760;0;760;0;760;152.226318;760;55.28733;760;55.38499;760;57.1062355;760;70.47334
770;399.211456;770;399.881378;770;-0.7857747;770;-0.003937458642292932;770;0;770;0;770;152.092041;770;55.4094048;770;55.38499;770;57.1062355;770;70.4611359
780;399.211456;780;399.842743;780;-0.7857747;780;-0.003937458642292932;780;0;780;0;780;152.140869;780;55.3361626;780;55.3239555;780;57.0085754;780;70.37569
790;399.211456;790;399.881378;790;-0.7857747;790;-0.003937458642292932;790;0;790;0;790;152.32399;790;55.25071;790;55.3971977;790;56.94754;790;70.36347
800;399.211456;800;399.919983;800;-0.7857747;800;-0.003937458642292932;800;0;800;0;800;152.262955;800;55.3361626;800;55.51927;800;56.9231224;800;70.41231
810;399.211456;810;399.881378;810;-0.7857747;810;-0.003937458642292932;810;0;810;0;810;152.226318;810;55.25071;810;55.51927;810;57.03299;810;70.509964
820;399.211456;820;399.919983;820;-0.7857747;820;-0.003937458642292932;820;0;820;0;820;152.3362;820;55.2751236;820;55.4704437;820;57.03299;820;70.43672
830;399.211456;830;399.919983;830;-0.7857747;830;-0.003937458642292932;830;0;830;0;830;152.299576;830;55.43382;830;55.4582367;830;56.99637;830;70.47334
840;399.211456;840;399.881378;840;-0.7857747;840;-0.003937458642292932;840;0;840;0;840;152.1897;840;55.3971977;840;55.4582367;840;56.93533;840;70.63204
850;399.211456;850;399.881378;850;-0.7857747;850;-0.003937458642292932;850;0;850;0;850;152.226318;850;55.3605766;850;55.34837;850;56.9109154;850;70.53438
860;399.211456;860;399.881378;860;-0.7857747;860;-0.003937458642292932;860;0;860;0;860;152.214111;860;55.44603;860;55.3117447;860;56.9109154;860;70.38789
870;399.211456;870;399.919983;870;-0.7857747;870;-0.003937458642292932;870;0;870;0;870;152.238525;870;55.3239555;870;55.48265;870;57.0085754;870;70.4611359
880;399.211456;880;399.919983;880;-0.7857747;880;-0.003937458642292932;880;0;880;0;880;152.299576;880;55.3239555;880;55.4704437;880;57.0207825;880;70.49776
890;399.211456;890;399.881378;890;-0.7857747;890;-0.003937458642292932;890;0;890;0;890;152.250748;890;55.3971977;890;55.3605766;890;56.94754;890;70.4001
900;399.211456;900;399.919983;900;-0.7857747;900;-0.003937458642292932;900;0;900;0;900;152.1897;900;55.3361626;900;55.34837;900;56.93533;900;70.38789
910;399.211456;910;399.881378;910;-0.7857747;910;-0.003937458642292932;910;0;910;0;910;152.226318;910;55.3727837;910;55.38499;910;56.9597473;910;70.38789
920;399.211456;920;399.881378;920;-0.7857747;920;-0.003937458642292932;920;0;920;0;920;152.275162;920;55.3605766;920;55.3605766;920;57.03299;920;70.38789
930;399.211456;930;399.881378;930;-0.7857747;930;-0.003937458642292932;930;0;930;0;930;152.214111;930;55.3117447;930;55.2751236;930;56.99637;930;70.351265
940;399.211456;940;399.881378;940;-0.7857747;940;-0.003937458642292932;940;0;940;0;940;152.153076;940;55.43382;940;55.34837;940;56.9231224;940;70.351265
950;399.211456;950;399.881378;950;-0.7857747;950;-0.003937458642292932;950;0;950;0;950;152.140869;950;55.4948578;950;55.4094048;950;56.8376732;950;70.4001
960;399.211456;960;399.958618;960;-0.7857747;960;-0.003937458642292932;960;0;960;0;960;152.17749;960;55.3727837;960;55.38499;960;56.9109154;960;70.43672
970;399.211456;970;399.919983;970;-0.7857747;970;-0.003937458642292932;970;0;970;0;970;152.214111;970;55.3727837;970;55.3727837;970;56.98416;970;70.36347
980;399.211456;980;399.881378;980;-0.7857747;980;-0.003937458642292932;980;0;980;0;980;152.067627;980;55.3971977;980;55.38499;980;56.99637;980;70.41231
990;399.211456;990;399.842743;990;-0.7857747;990;-0.003937458642292932;990;0;990;0;990;152.079834;990;55.42161;990;55.4094048;990;56.98416;990;70.49776
1000;399.211456;1000;399.881378;1000;-0.7857747;1000;-0.003937458642292932;1000;0;1000;0;1000;152.214111;1000;55.4094048;1000;55.4094048;1000;56.8742943;1000;70.44893
1010;399.211456;1010;399.881378;1010;-0.7857747;1010;-0.003937458642292932;1010;0;1010;0;1010;152.140869;1010;55.3727837;1010;55.3971977;1010;56.9597473;1010;70.3146439
1020;399.211456;1020;399.919983;1020;-0.7857747;1020;-0.003937458642292932;1020;0;1020;0;1020;152.165283;1020;55.3727837;1020;55.4582367;1020;57.0451965;1020;70.3146439
1030;399.211456;1030;399.881378;1030;-0.7857747;1030;-0.003937458642292932;1030;0;1030;0;1030;152.275162;1030;55.43382;1030;55.5681038;1030;56.98416;1030;70.351265
1040;399.211456;1040;399.881378;1040;-0.7857747;1040;-0.003937458642292932;1040;0;1040;0;1040;152.165283;1040;55.5070648;1040;55.5436859;1040;56.9231224;1040;70.36347
1050;399.211456;1050;399.958618;1050;-0.7857747;1050;-0.003937458642292932;1050;0;1050;0;1050;152.128662;1050;55.5070648;1050;55.3971977;1050;56.98416;1050;70.38789
1060;399.211456;1060;399.881378;1060;-0.7857747;1060;-0.003937458642292932;1060;0;1060;0;1060;152.165283;1060;55.44603;1060;55.3971977;1060;56.9597473;1060;70.38789
1070;399.211456;1070;399.842743;1070;-0.7857747;1070;-0.003937458642292932;1070;0;1070;0;1070;152.214111;1070;55.43382;1070;55.4582367;1070;56.81326;1070;70.38789
