Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MainHard1.csv;
Starttime of export;134226208972630000;torsdag 7. mai 2026;11:48:17.263
Endtime of export;134226210017030000;torsdag 7. mai 2026;11:50:01.703


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar
1160;156.0188;1160;299.475647;1160;3.134037;1160;0.01073457201525492;1160;0;1160;0;1160;151.7014;1160;0;1160;0.146488845;1160;56.27613;1160;0
1170;156.0188;1170;299.475647;1170;3.134037;1170;0.01073457201525492;1170;0;1170;0;1170;151.811279;1170;0;1170;0.170903653;1170;56.3859978;1170;0
1180;156.0188;1180;299.3987;1180;3.134037;1180;0.01073457201525492;1180;0;1180;0;1180;151.8479;1180;0;1180;0.183111057;1180;56.3615837;1180;0
1190;156.0188;1190;299.437164;1190;3.134037;1190;0.01073457201525492;1190;0;1190;0;1190;151.799072;1190;0;1190;0.170903653;1190;56.2273026;1190;0
1200;156.0188;1200;299.437164;1200;3.134037;1200;0.01073457201525492;1200;0;1200;0;1200;151.8479;1200;0;1200;0.170903653;1200;56.1296425;1200;0
1210;156.0188;1210;299.437164;1210;3.134037;1210;0.01073457201525492;1210;0;1210;0;1210;151.8601;1210;0;1210;0.170903653;1210;56.23951;1210;0
1220;156.0188;1220;299.475647;1220;3.134037;1220;0.01073457201525492;1220;0;1220;0;1220;151.786865;1220;0;1220;0.183111057;1220;56.23951;1220;0
1230;156.0188;1230;299.475647;1230;3.134037;1230;0.01073457201525492;1230;0;1230;0;1230;151.750244;1230;0;1230;0.219733268;1230;56.19068;1230;0
1240;156.0188;1240;299.437164;1240;3.134037;1240;0.01073457201525492;1240;0;1240;0;1240;151.8479;1240;0;1240;0.183111057;1240;56.3005447;1240;0
1250;156.0188;1250;299.437164;1250;3.134037;1250;0.01073457201525492;1250;0;1250;0;1250;151.957764;1250;0;1250;0.170903653;1250;56.20289;1250;0
1260;156.0188;1260;299.437164;1260;3.134037;1260;0.01073457201525492;1260;0;1260;0;1260;151.872314;1260;0;1260;0.158696249;1260;56.2273026;1260;0
1270;156.0188;1270;299.437164;1270;3.134037;1270;0.01073457201525492;1270;0;1270;0;1270;151.725815;1270;0;1270;0.158696249;1270;56.2273026;1270;0
1280;156.0188;1280;299.437164;1280;3.134037;1280;0.01073457201525492;1280;0;1280;0;1280;151.7014;1280;0;1280;0.207525864;1280;56.09302;1280;0
1290;156.0188;1290;299.437164;1290;3.134037;1290;0.01073457201525492;1290;0;1290;0;1290;151.8479;1290;0;1290;0.231940672;1290;56.20289;1290;0
1300;156.0188;1300;299.437164;1300;3.134037;1300;0.01073457201525492;1300;0;1300;0;1300;151.750244;1300;0;1300;0.219733268;1300;56.3127556;1300;0
1310;156.0188;1310;299.437164;1310;3.134037;1310;0.01073457201525492;1310;0;1310;0;1310;151.713608;1310;0;1310;0.207525864;1310;56.3249626;1310;0
1320;156.0188;1320;299.437164;1320;3.134037;1320;0.01073457201525492;1320;0;1320;0;1320;151.811279;1320;0;1320;0.207525864;1320;56.37379;1320;0
1330;156.0188;1330;299.437164;1330;3.134037;1330;0.01073457201525492;1330;0;1330;0;1330;151.786865;1330;0;1330;0.219733268;1330;56.2273026;1330;0
1340;156.0188;1340;299.437164;1340;3.134037;1340;0.01073457201525492;1340;0;1340;0;1340;151.750244;1340;0;1340;0.219733268;1340;56.1296425;1340;0
1350;156.0188;1350;299.437164;1350;3.134037;1350;0.01073457201525492;1350;0;1350;0;1350;151.8357;1350;0;1350;0.158696249;1350;56.14185;1350;0
1360;156.0188;1360;299.475647;1360;3.134037;1360;0.01073457201525492;1360;0;1360;0;1360;151.8601;1360;0.0122074038;1360;0.170903653;1360;56.2150955;1360;0
1370;156.0188;1370;299.437164;1370;3.134037;1370;0.01073457201525492;1370;0;1370;0;1370;151.750244;1370;0;1370;0.183111057;1370;56.2517166;1370;0
1380;156.0188;1380;299.437164;1380;3.134037;1380;0.01073457201525492;1380;0;1380;0;1380;151.713608;1380;0;1380;0.170903653;1380;56.27613;1380;0
1390;156.0188;1390;299.437164;1390;3.134037;1390;0.01073457201525492;1390;0;1390;0;1390;151.762451;1390;0;1390;0.183111057;1390;56.3249626;1390;0
1400;156.0188;1400;299.437164;1400;3.134037;1400;0.01073457201525492;1400;0;1400;0;1400;151.811279;1400;0;1400;0.183111057;1400;56.2517166;1400;0
1410;156.0188;1410;299.475647;1410;3.134037;1410;0.01073457201525492;1410;0;1410;0;1410;151.786865;1410;0;1410;0.183111057;1410;56.1540565;1410;0
1420;156.0188;1420;299.552582;1420;3.134037;1420;0.01073457201525492;1420;0;1420;0;1420;151.8357;1420;0;1420;0.170903653;1420;56.20289;1420;0
1430;156.0188;1430;299.591064;1430;3.134037;1430;0.01073457201525492;1430;0;1430;0;1430;151.799072;1430;0;1430;0.170903653;1430;56.23951;1430;0
1440;156.0188;1440;299.552582;1440;3.134037;1440;0.01073457201525492;1440;0;1440;0;1440;151.7014;1440;0;1440;0.170903653;1440;56.1540565;1440;0
1450;156.0188;1450;299.475647;1450;3.134037;1450;0.01073457201525492;1450;0;1450;0;1450;151.713608;1450;0;1450;0.170903653;1450;56.1662636;1450;0
1460;156.0188;1460;299.437164;1460;3.134037;1460;0.01073457201525492;1460;0;1460;0;1460;151.725815;1460;0.0122074038;1460;0.170903653;1460;56.2517166;1460;0
1470;156.0188;1470;299.437164;1470;3.134037;1470;0.01073457201525492;1470;0;1470;0;1470;151.725815;1470;0.0244148076;1470;0.183111057;1470;56.3249626;1470;0
1480;156.0188;1480;299.437164;1480;3.134037;1480;0.01073457201525492;1480;0;1480;0;1480;151.8357;1480;0.0122074038;1480;0.219733268;1480;56.3127556;1480;0
1490;156.0188;1490;299.475647;1490;3.134037;1490;0.01073457201525492;1490;0;1490;0;1490;151.908936;1490;0;1490;0.183111057;1490;56.2150955;1490;0
1500;156.0188;1500;299.475647;1500;3.134037;1500;0.01073457201525492;1500;0;1500;0;1500;151.799072;1500;0;1500;0.170903653;1500;56.2150955;1500;0
1510;156.0188;1510;299.437164;1510;3.134037;1510;0.01073457201525492;1510;0;1510;0;1510;151.8601;1510;0;1510;0.207525864;1510;56.23951;1510;0
1520;156.0188;1520;299.3987;1520;3.134037;1520;0.01073457201525492;1520;0;1520;0;1520;151.908936;1520;0;1520;0.231940672;1520;56.2517166;1520;0
1530;156.0188;1530;299.437164;1530;3.134037;1530;0.01073457201525492;1530;0;1530;0;1530;151.811279;1530;0;1530;0.207525864;1530;56.3005447;1530;0
1540;156.0188;1540;299.437164;1540;3.134037;1540;0.01073457201525492;1540;0;1540;0;1540;151.750244;1540;0;1540;0.207525864;1540;56.2273026;1540;0
1550;156.0188;1550;299.437164;1550;3.134037;1550;0.01073457201525492;1550;0;1550;0;1550;151.762451;1550;0;1550;0.170903653;1550;56.1296425;1550;0
1560;156.0188;1560;299.475647;1560;3.134037;1560;0.01073457201525492;1560;0;1560;0;1560;151.8357;1560;0;1560;0.158696249;1560;56.09302;1560;0
1570;156.0188;1570;299.475647;1570;3.134037;1570;0.01073457201525492;1570;0;1570;0;1570;151.799072;1570;0;1570;0.207525864;1570;56.23951;1570;0
1580;156.0188;1580;299.437164;1580;3.134037;1580;0.01073457201525492;1580;0;1580;0;1580;151.725815;1580;0;1580;0.183111057;1580;56.3127556;1580;0
1590;156.0188;1590;299.437164;1590;3.134037;1590;0.01073457201525492;1590;0;1590;0;1590;151.774658;1590;0;1590;0.170903653;1590;56.27613;1590;0
1600;156.0188;1600;299.475647;1600;3.134037;1600;0.01073457201525492;1600;0;1600;0;1600;151.811279;1600;0;1600;0.183111057;1600;56.2273026;1600;0
1610;156.0188;1610;299.475647;1610;3.134037;1610;0.01073457201525492;1610;0;1610;0;1610;151.8357;1610;0.0122074038;1610;0.170903653;1610;56.1662636;1610;0
1620;156.0188;1620;299.3987;1620;3.134037;1620;0.01073457201525492;1620;0;1620;0;1620;151.799072;1620;0;1620;0.170903653;1620;56.19068;1620;0
1630;156.0188;1630;299.3987;1630;3.134037;1630;0.01073457201525492;1630;0;1630;0;1630;151.762451;1630;0;1630;0.207525864;1630;56.14185;1630;0
1640;156.0188;1640;299.437164;1640;3.134037;1640;0.01073457201525492;1640;0;1640;0;1640;151.725815;1640;0;1640;0.183111057;1640;56.1662636;1640;0
1650;156.0188;1650;299.437164;1650;3.134037;1650;0.01073457201525492;1650;0;1650;0;1650;151.66478;1650;0;1650;0.183111057;1650;56.20289;1650;0
1660;156.0188;1660;299.437164;1660;3.134037;1660;0.01073457201525492;1660;0;1660;0;1660;151.603745;1660;0;1660;0.183111057;1660;56.2517166;1660;0
1670;156.0188;1670;299.437164;1670;3.134037;1670;0.01073457201525492;1670;0;1670;0;1670;151.713608;1670;0;1670;0.170903653;1670;56.2517166;1670;0
1680;156.0188;1680;299.437164;1680;3.134037;1680;0.01073457201525492;1680;0;1680;0;1680;151.713608;1680;0.0122074038;1680;0.170903653;1680;56.14185;1680;0
1690;156.0188;1690;299.437164;1690;3.134037;1690;0.01073457201525492;1690;0;1690;0;1690;151.750244;1690;0;1690;0.183111057;1690;56.14185;1690;0
1700;156.0188;1700;299.475647;1700;3.134037;1700;0.01073457201525492;1700;0;1700;0;1700;151.8357;1700;0;1700;0.183111057;1700;56.2883377;1700;0
